id_nota,id_estudiante,id_materia,periodo,nota1,nota2,nota3,fecha_registro,observacion
62,9,1,2024-1,3.2,3.9,4.0,2024-03-06,Quos ex error ex perferendis odit.
63,9,2,2024-1,4.8,4.7,3.5,2024-01-19,Reprehenderit quasi eius repudiandae facilis.
64,9,3,2024-1,2.2,2.2,2.6,2024-03-12,Sin observacion
65,9,4,2024-1,1.8,3.7,2.5,2024-01-23,Fugit reprehenderit a ratione magnam totam.
66,9,5,2024-1,2.2,3.2,1.0,2024-02-20,Sin observacion
67,9,6,2024-1,3.4,2.3,2.8,2024-02-21,Non a corporis vero.
68,9,7,2024-1,4.6,4.2,1.7,2024-03-05,Sin observacion
69,9,8,2024-1,3.5,1.4,4.8,2024-02-24,Sin observacion
70,10,1,2024-1,1.8,1.1,2.0,2024-03-06,Sin observacion
71,10,2,2024-1,2.8,4.5,3.3,2024-01-19,Qui necessitatibus corporis repudiandae.
72,10,3,2024-1,2.0,3.6,1.0,2024-02-09,Molestiae facilis aperiam dignissimos a illum.
73,10,4,2024-1,4.1,1.9,4.2,2024-01-21,Consequuntur quisquam ipsam quis fugit unde.
74,10,5,2024-1,2.0,4.4,2.8,2024-02-19,Voluptatibus officiis recusandae consectetur reprehenderit laudantium.
75,10,6,2024-1,3.4,4.8,4.6,2024-02-19,Quia magnam aliquam voluptatibus ipsa aliquam.
76,10,7,2024-1,2.7,4.6,2.8,2024-02-16,Sin observacion
77,10,8,2024-1,2.0,2.0,3.6,2024-02-12,Officiis aut quisquam minima cum quo.
78,11,1,2024-1,2.0,2.8,3.9,2024-02-24,Sin observacion
79,11,2,2024-1,3.2,1.6,1.9,2024-03-12,Alias error cupiditate nisi dolorum.
80,11,3,2024-1,2.7,2.3,2.9,2024-01-19,Sin observacion
81,11,4,2024-1,4.6,3.3,3.8,2024-02-08,Veritatis delectus ipsam quis labore tempora quas.
82,11,5,2024-1,2.9,4.8,2.2,2024-02-08,Sin observacion
83,11,6,2024-1,2.7,4.0,3.2,2024-03-08,Non vel quis ea reiciendis.
84,11,7,2024-1,2.1,2.9,2.6,2024-01-29,Occaecati hic aliquid nam quaerat eveniet tempore.
85,11,8,2024-1,1.7,2.9,1.5,2024-03-01,Quisquam incidunt quibusdam suscipit odio quaerat porro.
86,12,1,2024-1,3.4,3.7,1.3,2024-02-09,Sin observacion
87,12,2,2024-1,1.2,2.5,1.8,2024-01-26,Sin observacion
88,12,3,2024-1,2.1,4.8,2.7,2024-02-08,Mollitia ex perferendis tenetur esse atque voluptatem.
89,12,4,2024-1,3.2,5.0,2.4,2024-03-02,Pariatur ut cumque omnis voluptates.
90,12,5,2024-1,1.2,1.1,2.0,2024-02-25,Reprehenderit ratione explicabo sapiente quia ipsam cumque.
91,12,6,2024-1,1.5,3.7,3.3,2024-01-30,Sin observacion
92,12,7,2024-1,2.5,3.4,4.9,2024-03-04,Est nulla occaecati vel voluptatum occaecati eligendi.
93,12,8,2024-1,4.9,1.4,1.1,2024-01-25,Sin observacion
94,13,1,2024-1,2.6,3.9,1.3,2024-02-08,Quasi doloribus reprehenderit placeat at animi earum.
95,13,2,2024-1,3.8,2.2,3.7,2024-01-21,Sint natus ab aliquid ad eveniet hic consequuntur.
96,13,3,2024-1,4.1,2.4,2.7,2024-02-20,Sin observacion
97,13,4,2024-1,1.1,2.7,3.0,2024-02-05,Sin observacion
98,13,5,2024-1,4.3,3.8,2.7,2024-03-12,Maiores placeat delectus eos.
99,13,7,2024-1,4.7,4.1,2.9,2024-03-06,Consequuntur repellendus qui repellat exercitationem.
100,13,8,2024-1,4.4,4.3,1.3,2024-02-04,Dolorem corrupti odit.
101,14,1,2024-1,3.3,3.7,2.3,2024-02-13,Sin observacion
102,14,2,2024-1,1.8,4.2,2.4,2024-02-15,Ipsa quibusdam quod rerum.
103,14,3,2024-1,3.2,3.1,1.8,2024-02-01,Sin observacion
104,14,4,2024-1,4.0,3.8,3.6,2024-02-19,Sin observacion
105,14,5,2024-1,2.2,2.6,2.0,2024-01-20,Nobis ipsum ipsa dolorum.
106,14,6,2024-1,3.1,2.7,4.0,2024-02-19,Sin observacion
107,14,7,2024-1,2.2,1.9,3.9,2024-02-01,Sin observacion
108,14,8,2024-1,4.0,1.7,1.9,2024-03-15,Sin observacion
109,15,1,2024-1,3.1,2.1,1.4,2024-03-03,Sin observacion
110,15,2,2024-1,2.2,3.8,1.5,2024-01-26,Sin observacion
111,15,3,2024-1,3.8,1.5,4.5,2024-02-02,Sin observacion
112,15,4,2024-1,2.1,2.9,2.4,2024-02-20,Illo doloremque eius dolorum iure consequatur voluptates accusantium.
113,15,5,2024-1,2.9,4.3,2.6,2024-03-10,Sin observacion
114,15,6,2024-1,1.6,4.2,4.8,2024-01-18,Sin observacion
115,15,7,2024-1,4.1,3.4,4.2,2024-02-19,Sin observacion
116,15,8,2024-1,4.6,2.2,3.4,2024-02-12,Sin observacion
117,16,1,2024-1,3.4,4.0,4.8,2024-01-18,Sin observacion
118,16,2,2024-1,1.3,2.0,3.2,2024-02-26,Sin observacion
119,16,3,2024-1,3.4,2.2,1.9,2024-02-28,Maiores eveniet molestiae incidunt.
120,16,4,2024-1,1.3,1.9,2.1,2024-02-13,Vitae minima sequi perspiciatis molestias quod vero.
121,16,5,2024-1,4.7,2.7,3.2,2024-03-06,Soluta quia enim molestias consectetur aut doloremque.
122,16,6,2024-1,1.6,1.2,4.2,2024-03-07,Sin observacion
123,16,7,2024-1,2.2,1.5,3.8,2024-03-13,Molestiae porro enim sed perspiciatis.
124,16,8,2024-1,3.2,2.8,3.4,2024-02-16,Cupiditate nesciunt deserunt consequatur.
125,17,1,2024-1,2.0,1.4,4.8,2024-02-22,Nostrum praesentium nisi numquam architecto saepe totam.
126,17,2,2024-1,1.1,4.1,4.3,2024-03-15,Sin observacion
127,17,3,2024-1,2.9,3.6,4.7,2024-01-26,Sin observacion
128,17,4,2024-1,4.3,4.9,2.9,2024-02-24,Sin observacion
129,17,5,2024-1,4.4,2.3,3.8,2024-01-21,Sin observacion
130,17,6,2024-1,4.0,1.1,1.4,2024-03-07,Sin observacion
131,17,7,2024-1,2.6,3.1,5.0,2024-03-04,Fugit quod numquam maiores laboriosam.
132,17,8,2024-1,1.2,3.1,3.5,2024-02-10,Sin observacion
133,18,1,2024-1,1.8,3.2,4.7,2024-01-18,Sin observacion
134,18,2,2024-1,1.1,3.5,4.2,2024-01-22,Ipsum et doloremque.
135,18,3,2024-1,3.2,1.4,5.0,2024-01-15,Molestias autem sunt modi aspernatur amet.
136,18,4,2024-1,3.6,1.6,4.7,2024-01-22,Sin observacion
137,18,5,2024-1,4.3,4.9,2.0,2024-02-10,Sin observacion
138,18,6,2024-1,3.4,4.0,1.5,2024-03-13,Sin observacion
139,18,7,2024-1,2.7,4.7,3.0,2024-03-09,Porro hic quis explicabo molestiae officia.
140,18,8,2024-1,4.3,3.3,3.6,2024-02-03,Minus laborum ut eaque labore tenetur.
141,19,1,2024-1,2.4,3.2,3.2,2024-02-14,Sin observacion
142,19,2,2024-1,4.9,2.0,2.5,2024-01-27,Culpa minus tempora perferendis magnam.
143,19,3,2024-1,4.0,3.8,4.2,2024-02-04,Sin observacion
144,19,4,2024-1,3.6,1.6,4.9,2024-03-07,Sin observacion
145,19,6,2024-1,4.5,2.8,3.1,2024-01-21,Sin observacion
146,19,7,2024-1,4.5,4.9,1.3,2024-02-10,Animi voluptate asperiores neque delectus.
147,19,8,2024-1,3.8,3.6,4.4,2024-02-23,Reprehenderit porro eius.
148,20,1,2024-1,4.8,3.5,4.5,2024-02-08,Sin observacion
149,20,2,2024-1,1.3,3.5,4.7,2024-02-23,Accusamus necessitatibus magnam veritatis error ad.
150,20,3,2024-1,4.9,4.0,3.8,2024-02-11,Sin observacion
151,20,4,2024-1,4.6,1.2,4.2,2024-02-03,Sin observacion
152,20,5,2024-1,2.0,2.6,3.7,2024-01-24,Sin observacion
153,20,6,2024-1,4.5,3.5,2.0,2024-02-23,Ad dolore saepe error.
154,20,7,2024-1,3.6,2.8,3.7,2024-02-13,Ipsa qui saepe commodi at at.
155,20,8,2024-1,3.7,1.6,2.8,2024-02-02,Sin observacion
156,21,1,2024-1,4.8,3.8,2.8,2024-02-24,Sin observacion
157,21,3,2024-1,1.9,3.3,3.3,2024-01-21,Consectetur assumenda natus minima impedit quis.
158,21,4,2024-1,3.6,2.1,3.3,2024-03-08,Modi nihil reprehenderit in praesentium impedit aliquid.
159,21,5,2024-1,4.6,4.0,4.3,2024-01-18,Quaerat doloribus eveniet ullam.
160,21,6,2024-1,3.4,2.4,3.5,2024-01-29,Sequi minus minus adipisci optio similique.
161,21,7,2024-1,4.1,3.7,1.5,2024-03-01,Sin observacion
162,21,8,2024-1,2.2,2.8,3.3,2024-01-17,Nostrum cupiditate ullam eligendi fugiat.
163,22,1,2024-1,2.3,2.7,1.8,2024-02-02,Facilis excepturi harum minima at tenetur.
164,22,2,2024-1,3.1,4.7,4.3,2024-02-07,Sin observacion
165,22,3,2024-1,4.9,2.2,4.5,2024-02-14,Quisquam architecto ipsam est nobis.
166,22,4,2024-1,1.6,4.9,4.4,2024-01-19,Ut facere mollitia officiis animi laudantium ipsam.
167,22,7,2024-1,1.4,2.6,2.1,2024-02-07,Sin observacion
168,22,8,2024-1,3.7,3.3,4.3,2024-03-02,Quam dolorem dolor inventore.
169,23,1,2024-1,2.9,3.5,4.8,2024-01-29,Sin observacion
170,23,2,2024-1,1.3,4.3,4.6,2024-02-25,Sin observacion
171,23,3,2024-1,1.2,1.1,5.0,2024-01-23,Sin observacion
172,23,4,2024-1,1.5,2.8,3.7,2024-02-18,Quia enim suscipit dolor ad atque.
173,23,5,2024-1,3.3,3.9,4.5,2024-02-10,Facilis provident aperiam expedita sit ipsum.
174,23,6,2024-1,2.6,4.8,1.1,2024-02-23,Sin observacion
175,23,7,2024-1,1.9,2.5,4.9,2024-03-15,Sin observacion
176,23,8,2024-1,2.4,2.6,1.8,2024-02-25,Sin observacion
177,24,1,2024-1,1.4,1.8,3.6,2024-02-13,Vero reiciendis reprehenderit dolor.
178,24,2,2024-1,2.0,1.5,3.3,2024-02-05,Sin observacion
179,24,3,2024-1,3.3,4.3,1.9,2024-01-28,Fugiat expedita quaerat eos.
180,24,4,2024-1,1.0,4.4,1.6,2024-02-22,Sin observacion
181,24,5,2024-1,1.4,4.5,1.5,2024-01-26,Sin observacion
182,24,6,2024-1,2.3,1.7,1.2,2024-02-21,Earum nulla cumque.
183,24,7,2024-1,1.3,2.8,2.4,2024-03-02,Sin observacion
184,24,8,2024-1,4.8,1.2,4.1,2024-01-29,Hic quis saepe dicta aliquid.
185,25,1,2024-1,3.6,1.1,5.0,2024-02-13,Aliquam id sequi debitis tempora.
186,25,2,2024-1,3.0,4.6,1.3,2024-01-21,Sin observacion
187,25,3,2024-1,1.5,3.5,3.3,2024-01-19,Eaque vitae autem aspernatur earum ipsum.
188,25,4,2024-1,3.1,2.8,3.4,2024-02-22,Sin observacion
189,25,5,2024-1,3.6,4.5,3.2,2024-03-09,Suscipit magni occaecati repudiandae quae.
190,25,6,2024-1,1.9,2.4,2.8,2024-03-11,Sin observacion
191,25,7,2024-1,2.3,2.0,4.8,2024-02-11,Ipsa numquam laborum ut rem enim id.
192,25,8,2024-1,4.3,1.4,1.4,2024-01-20,Maxime iusto dolores similique.
193,26,1,2024-1,1.2,4.8,3.2,2024-02-19,Modi non explicabo sint aliquam placeat.
194,26,2,2024-1,3.7,4.0,4.5,2024-03-10,Harum officiis officia distinctio rem modi aut.
195,26,4,2024-1,1.4,3.0,1.6,2024-02-06,Sin observacion
196,26,5,2024-1,4.4,2.5,4.1,2024-02-06,Sin observacion
197,26,6,2024-1,3.2,4.1,3.5,2024-03-09,Corporis nobis laudantium ad.
198,26,7,2024-1,4.7,4.3,2.1,2024-02-22,Sin observacion
199,26,8,2024-1,4.7,2.4,1.7,2024-02-03,Sin observacion
200,27,1,2024-1,1.6,3.5,1.1,2024-01-19,Perferendis reprehenderit dicta odio dolorem.
201,27,2,2024-1,2.8,1.6,2.2,2024-02-10,Sin observacion
202,27,3,2024-1,1.3,1.2,1.6,2024-02-22,Qui corrupti esse aperiam dolore tempora.
203,27,4,2024-1,2.8,2.7,3.4,2024-02-01,Sin observacion
204,27,5,2024-1,1.5,2.7,2.1,2024-02-16,Qui nisi hic aliquam.
205,27,6,2024-1,2.2,1.9,4.9,2024-02-26,Sin observacion
206,27,7,2024-1,1.8,1.5,2.0,2024-03-15,Sin observacion
207,27,8,2024-1,2.7,1.5,3.1,2024-03-02,Sin observacion
208,28,1,2024-1,4.2,1.3,4.4,2024-02-26,Sin observacion
209,28,2,2024-1,1.3,2.3,2.7,2024-03-13,Sin observacion
210,28,3,2024-1,1.5,1.1,2.3,2024-02-02,Ad iure optio fugiat deserunt ea.
211,28,4,2024-1,3.8,2.4,2.7,2024-03-08,Sin observacion
212,28,5,2024-1,3.1,2.6,2.2,2024-02-09,Sin observacion
213,28,6,2024-1,1.3,3.5,3.1,2024-01-25,Sin observacion
214,28,7,2024-1,3.9,4.3,4.3,2024-02-06,Sin observacion
215,28,8,2024-1,1.7,1.6,4.0,2024-01-27,Sin observacion
216,29,2,2024-1,4.0,4.0,2.8,2024-02-13,Veniam provident veniam voluptas consequuntur in.
217,29,3,2024-1,4.9,2.3,4.9,2024-02-24,Sin observacion
218,29,4,2024-1,2.8,2.2,2.1,2024-02-14,Sin observacion
219,29,5,2024-1,2.8,1.2,2.5,2024-02-03,Sin observacion
220,29,6,2024-1,1.4,3.4,2.5,2024-03-09,Sin observacion
221,29,8,2024-1,2.8,4.2,3.6,2024-01-17,Sin observacion
222,30,1,2024-1,4.8,2.8,4.2,2024-01-24,In ullam reprehenderit consectetur quas ad dolorem.
223,30,3,2024-1,1.7,2.0,2.8,2024-02-25,Sin observacion
224,30,4,2024-1,2.5,4.7,2.5,2024-01-25,Exercitationem magnam enim quod architecto soluta rerum.
225,30,5,2024-1,4.2,3.6,1.3,2024-01-18,Sin observacion
226,30,6,2024-1,2.0,4.4,4.9,2024-02-02,Ipsa omnis voluptatem sapiente nemo.
227,30,7,2024-1,3.3,1.6,2.4,2024-01-20,Repellat dicta sapiente ipsam deleniti.
228,30,8,2024-1,1.5,3.8,1.3,2024-02-09,Sin observacion
229,31,1,2024-1,4.3,3.7,4.3,2024-02-05,Est dolores similique cum.
230,31,2,2024-1,1.4,3.7,3.0,2024-02-17,Sin observacion
231,31,3,2024-1,1.9,4.8,2.9,2024-03-15,Sin observacion
232,31,4,2024-1,2.2,4.2,3.0,2024-01-19,Sin observacion
233,31,5,2024-1,1.2,2.3,4.1,2024-02-17,Sin observacion
234,31,6,2024-1,1.7,3.8,3.5,2024-01-25,Provident soluta officia repellat.
235,31,7,2024-1,2.6,3.7,2.0,2024-01-17,Sin observacion
236,31,8,2024-1,4.1,1.9,2.0,2024-03-02,Labore autem delectus temporibus ducimus.
237,32,1,2024-1,4.3,2.5,4.8,2024-03-12,Mollitia neque illum soluta placeat deserunt.
238,32,2,2024-1,4.1,3.0,2.7,2024-02-02,Sin observacion
239,32,3,2024-1,1.6,2.0,3.6,2024-02-22,Corporis qui quos inventore illo omnis nemo.
240,32,4,2024-1,3.8,3.1,1.5,2024-01-21,Sin observacion
241,32,5,2024-1,4.6,1.6,2.7,2024-02-12,Sint magnam amet.
242,32,6,2024-1,4.5,4.7,2.7,2024-02-12,Sin observacion
243,32,7,2024-1,5.0,2.5,1.1,2024-02-08,Necessitatibus officiis minus quaerat qui odio.
244,32,8,2024-1,2.3,1.6,1.2,2024-02-25,Impedit facere beatae dicta.
245,33,1,2024-1,1.6,3.8,2.8,2024-03-08,Sin observacion
246,33,2,2024-1,1.9,1.6,4.8,2024-01-31,Quos voluptates perferendis ab temporibus molestias non sit.
247,33,3,2024-1,2.2,2.2,1.2,2024-03-04,Sin observacion
248,33,4,2024-1,1.3,4.3,3.0,2024-02-13,Sin observacion
249,33,5,2024-1,2.0,1.6,2.7,2024-02-20,Atque minus maiores et.
250,33,6,2024-1,1.7,3.7,3.1,2024-02-10,Sin observacion
251,33,8,2024-1,5.0,3.2,2.6,2024-03-05,Sin observacion
252,34,1,2024-1,2.0,1.1,4.2,2024-02-07,Sin observacion
253,34,2,2024-1,1.4,3.3,4.0,2024-02-24,Sin observacion
254,34,3,2024-1,4.3,1.7,4.1,2024-02-05,Sin observacion
255,34,4,2024-1,1.7,1.5,3.9,2024-02-24,Molestias rem ipsa temporibus.
256,34,5,2024-1,1.2,1.8,1.2,2024-01-27,Aliquam cum eius quam repellendus in blanditiis.
257,34,6,2024-1,3.2,2.0,4.0,2024-03-07,Sin observacion
258,34,7,2024-1,1.2,3.6,2.1,2024-03-04,Officia explicabo libero at earum quia.
259,34,8,2024-1,4.0,4.6,2.5,2024-02-09,Aspernatur voluptatum sequi quod magnam non architecto aperiam.
260,35,1,2024-1,2.5,4.2,2.1,2024-02-15,Sin observacion
261,35,2,2024-1,3.4,4.3,3.2,2024-02-11,Sin observacion
262,35,3,2024-1,2.2,2.8,3.9,2024-02-26,Sin observacion
263,35,4,2024-1,1.2,4.5,2.4,2024-02-12,Nam quisquam earum facilis.
264,35,5,2024-1,4.8,1.3,3.6,2024-03-05,Sin observacion
265,35,6,2024-1,1.6,1.1,4.4,2024-02-27,Ducimus quo sint unde occaecati nam.
266,35,7,2024-1,1.3,4.1,2.5,2024-01-23,Sin observacion
267,35,8,2024-1,1.6,2.8,2.5,2024-02-22,Sin observacion
268,36,1,2024-1,3.1,2.6,3.6,2024-01-23,Sin observacion
269,36,2,2024-1,1.7,3.1,4.7,2024-03-02,Sin observacion
270,36,3,2024-1,2.8,5.0,2.1,2024-02-29,Nulla recusandae blanditiis expedita.
271,36,4,2024-1,1.5,1.3,1.7,2024-01-22,Aut dolorum occaecati nihil sequi.
272,36,6,2024-1,4.9,3.7,3.8,2024-03-09,Sin observacion
273,36,7,2024-1,4.4,3.8,4.7,2024-02-03,Beatae atque cupiditate magni.
274,36,8,2024-1,1.9,4.9,4.2,2024-02-16,Sin observacion
275,37,1,2024-1,3.2,2.5,4.2,2024-02-07,Sin observacion
276,37,2,2024-1,1.3,2.6,3.9,2024-01-20,Sin observacion
277,37,3,2024-1,4.3,1.3,4.9,2024-02-10,Facere accusantium eius quod praesentium veniam hic.
278,37,4,2024-1,3.1,1.5,4.3,2024-02-27,Sin observacion
279,37,5,2024-1,4.9,2.7,4.6,2024-03-04,Sin observacion
280,37,6,2024-1,2.2,1.6,4.7,2024-01-24,Sin observacion
281,37,7,2024-1,4.6,4.4,2.0,2024-02-17,In praesentium rem necessitatibus tempora.
282,37,8,2024-1,3.5,3.5,1.4,2024-01-23,Natus minima odit illum iste dolor in voluptatem.
283,38,1,2024-1,1.6,3.6,3.9,2024-02-21,Molestias in aspernatur quas ipsam aliquid exercitationem id.
284,38,2,2024-1,1.2,4.5,1.3,2024-02-20,Consectetur ipsa debitis.
285,38,3,2024-1,3.6,4.1,2.7,2024-01-31,Error autem repellat tenetur modi.
286,38,4,2024-1,3.2,3.6,2.2,2024-02-24,Sin observacion
287,38,5,2024-1,2.2,1.3,1.2,2024-02-09,Sin observacion
288,38,6,2024-1,2.4,1.6,4.4,2024-01-28,Sin observacion
289,38,8,2024-1,1.5,2.5,3.2,2024-02-09,Sin observacion
290,39,1,2024-1,2.8,1.6,1.2,2024-02-01,Mollitia nam voluptatem rem at.
291,39,2,2024-1,2.0,4.5,1.6,2024-02-10,Sin observacion
292,39,3,2024-1,1.8,1.6,5.0,2024-02-04,Sin observacion
293,39,4,2024-1,1.1,4.8,3.0,2024-02-15,Nemo quos vitae dolore excepturi fugiat nisi fugiat.
294,39,5,2024-1,1.2,2.1,3.4,2024-02-06,Eligendi et eos exercitationem voluptatibus laborum repellat non.
295,39,6,2024-1,3.1,4.4,2.7,2024-02-02,Fuga tempora maiores consectetur velit repudiandae incidunt.
296,39,7,2024-1,2.6,1.2,1.2,2024-03-03,Sin observacion
297,39,8,2024-1,1.3,3.0,4.1,2024-02-02,Sin observacion
298,40,2,2024-1,1.5,1.4,2.5,2024-01-22,Neque provident aperiam consectetur placeat commodi.
299,40,3,2024-1,4.0,1.8,3.0,2024-02-07,Sin observacion
300,40,4,2024-1,3.9,4.2,3.1,2024-01-23,Sin observacion
301,40,5,2024-1,2.3,3.5,1.7,2024-01-23,Quam nihil ducimus vero blanditiis.
302,40,6,2024-1,3.4,3.0,3.0,2024-02-03,Sin observacion
303,40,7,2024-1,4.3,2.5,3.7,2024-02-14,Cum est corrupti perferendis ad totam earum.
304,40,8,2024-1,4.6,4.5,3.5,2024-03-05,Sin observacion
305,41,1,2024-1,4.1,4.1,3.3,2024-02-25,Distinctio illo laudantium dolorum.
306,41,2,2024-1,3.1,3.9,4.1,2024-01-25,Sin observacion
307,41,3,2024-1,1.1,4.8,1.4,2024-01-30,Sin observacion
308,41,4,2024-1,2.7,1.8,3.0,2024-01-24,Facilis blanditiis dicta ipsam corrupti sunt.
309,41,5,2024-1,3.9,1.2,1.6,2024-03-09,Sin observacion
310,41,6,2024-1,2.9,2.5,4.8,2024-02-26,Sin observacion
311,41,7,2024-1,2.4,4.1,3.9,2024-02-18,Laboriosam quaerat veniam cumque.
312,41,8,2024-1,2.9,4.8,2.1,2024-02-23,Sin observacion
313,42,1,2024-1,4.1,3.8,3.8,2024-02-03,Sin observacion
314,42,2,2024-1,4.7,4.2,2.1,2024-02-19,Sin observacion
315,42,3,2024-1,4.6,2.6,2.4,2024-02-08,Facere natus dolorem corporis odit.
316,42,4,2024-1,2.2,3.9,2.4,2024-01-17,Sin observacion
317,42,5,2024-1,1.9,4.3,2.1,2024-02-14,Sin observacion
318,42,6,2024-1,3.5,3.3,2.0,2024-01-21,Illo eveniet in ullam similique fugiat ipsum.
319,42,7,2024-1,1.9,1.4,2.3,2024-02-24,Sin observacion
320,42,8,2024-1,1.0,3.2,4.7,2024-01-23,Sin observacion
321,43,1,2024-1,2.9,3.6,4.0,2024-03-11,Sin observacion
322,43,2,2024-1,4.6,1.4,3.3,2024-01-18,Sin observacion
323,43,3,2024-1,1.1,4.7,2.7,2024-03-14,Tempora ducimus sit.
324,43,4,2024-1,5.0,2.6,3.0,2024-01-17,Earum facere repellat accusamus error.
325,43,6,2024-1,1.1,2.2,3.4,2024-03-11,Nobis neque temporibus consequatur.
326,43,7,2024-1,5.0,3.2,3.0,2024-02-13,Dolores ipsa neque harum.
